dataset,diff
nz_stream_foodweb,1.4969275509456519e-5
nz_stream_foodweb,5.4829775182749814e-6
nz_stream_foodweb,5.6082582841353464e-5
nz_stream_foodweb,5.6082582841353464e-5
nz_stream_foodweb,3.7109986858990386e-5
nz_stream_foodweb,1.4969275509456519e-5
nz_stream_foodweb,5.039080404664454e-5
nz_stream_foodweb,1.4969275509456519e-5
nz_stream_foodweb,5.039080404664454e-5
nz_stream_foodweb,2.04522530277315e-5
nz_stream_foodweb,4.111330733189694e-5
nz_stream_foodweb,5.4829775182749814e-6
nz_stream_foodweb,5.6082582841353464e-5
nz_stream_foodweb,5.6082582841353464e-5
