index,richness,sampling_effort,mean_fnr
11,9,600,0.0013333333333333333
11,9,650,0.0013333333333333333
11,9,700,0.0006666666666666666
11,9,750,0.0013333333333333333
11,9,800,0.0
11,9,850,0.0
11,9,900,0.0
11,9,950,0.0013333333333333333
11,9,1000,0.0
11,9,1050,0.0
11,9,1100,0.0
11,9,1150,0.0006666666666666666
11,9,1200,0.0
11,9,1250,0.0
11,9,1300,0.0
11,9,1350,0.0
11,9,1400,0.0016666666666666666
11,9,1450,0.0
11,9,1500,0.0
12,9,1,1.0
12,9,25,0.37707767722473595
12,9,50,0.19770016339869284
12,9,100,0.0826470588235294
12,9,150,0.04462418300653595
12,9,200,0.0325
12,9,250,0.013888888888888888
12,9,300,0.005833333333333333
12,9,350,0.009722222222222222
12,9,400,0.008333333333333333
12,9,450,0.0022222222222222222
12,9,500,0.003611111111111111
12,9,550,0.0022222222222222222
12,9,600,0.0022222222222222222
12,9,650,0.0
12,9,700,0.004166666666666667
12,9,750,0.0
12,9,800,0.0019444444444444442
12,9,850,0.0011111111111111111
12,9,900,0.0022222222222222222
12,9,950,0.0
12,9,1000,0.0011111111111111111
12,9,1050,0.0
12,9,1100,0.0
12,9,1150,0.0
12,9,1200,0.0
12,9,1250,0.001388888888888889
12,9,1300,0.0
12,9,1350,0.0
12,9,1400,0.0
12,9,1450,0.0
12,9,1500,0.0
13,9,1,1.0
13,9,25,0.379866106116106
13,9,50,0.19839452214452213
13,9,100,0.07568181818181818
13,9,150,0.04269230769230769
13,9,200,0.0258974358974359
13,9,250,0.009230769230769232
13,9,300,0.011538461538461537
13,9,350,0.01
13,9,400,0.011153846153846155
13,9,450,0.006923076923076924
13,9,500,0.003076923076923077
13,9,550,0.0007692307692307692
13,9,600,0.0
13,9,650,0.0015384615384615385
13,9,700,0.0
13,9,750,0.0034615384615384616
13,9,800,0.0007692307692307692
13,9,850,0.0019230769230769232
13,9,900,0.0
13,9,950,0.0034615384615384616
13,9,1000,0.0
13,9,1050,0.0
13,9,1100,0.0
13,9,1150,0.0007692307692307692
13,9,1200,0.0
13,9,1250,0.0
13,9,1300,0.0
13,9,1350,0.0007692307692307692
13,9,1400,0.0
13,9,1450,0.0015384615384615385
13,9,1500,0.0
14,9,1,1.0
14,9,25,0.36539880952380954
14,9,50,0.17711309523809526
14,9,100,0.07901785714285715
14,9,150,0.049553571428571426
14,9,200,0.023928571428571428
14,9,250,0.020625
14,9,300,0.003125
14,9,350,0.006875
14,9,400,0.005625
14,9,450,0.00375
14,9,500,0.0025
14,9,550,0.001875
14,9,600,0.0
14,9,650,0.0
14,9,700,0.003125
14,9,750,0.000625
14,9,800,0.001875
14,9,850,0.0
14,9,900,0.001875
14,9,950,0.0
14,9,1000,0.0
14,9,1050,0.0
14,9,1100,0.0
14,9,1150,0.0
14,9,1200,0.0
14,9,1250,0.0
14,9,1300,0.001875
14,9,1350,0.0
14,9,1400,0.0
14,9,1450,0.0
14,9,1500,0.0
15,10,1,0.9841666666666667
15,10,25,0.39950330603586187
15,10,50,0.20283902136233473
15,10,100,0.0935319740923189
15,10,150,0.034160052910052904
15,10,200,0.024969211822660098
15,10,250,0.01666871921182266
15,10,300,0.005344827586206896
15,10,350,0.005720443349753694
15,10,400,0.004655172413793103
15,10,450,0.005172413793103448
15,10,500,0.005517241379310344
15,10,550,0.0008620689655172415
15,10,600,0.0038238916256157635
15,10,650,0.003620689655172414
15,10,700,0.0037931034482758617
15,10,750,0.0008928571428571428
15,10,800,0.0008620689655172415
15,10,850,0.0018965517241379308
